Frequency,S11_Magnitude,S11_Phase,S12_Magnitude,S12_Phase,S21_Magnitude,S21_Phase,S22_Magnitude,S22_Phase,
166000000,-4.247869125,83.72055806,-66.12795794,146.7138134,-19.11450514,-42.0755806,-41.59307854,121.3969812,
167000000,-4.514017033,81.17427907,-68.94872136,136.8260927,-19.17926502,-44.25603159,-41.59564444,120.7664074,
168000000,-4.29093027,82.32736596,-67.15598351,144.9571305,-19.11152993,-44.59217186,-41.53060335,120.7865378,
169000000,-4.344064293,82.02505848,-66.45309932,145.7336451,-19.14315704,-45.88358915,-41.52767615,120.6250023,
170000000,-4.287791405,81.52595087,-66.7402846,143.5851603,-19.07815258,-47.05573213,-41.45361055,119.4565024,
171000000,-4.370934661,80.91532447,-66.80106094,143.8032934,-19.14969486,-48.57488364,-41.45339217,119.8111023,
172000000,-4.345530093,79.92387207,-66.46871591,141.635409,-19.13791758,-49.84863878,-41.44673403,119.494899,
173000000,-4.329507448,80.08580006,-66.47066968,138.3312984,-19.23244242,-51.24609168,-41.50494809,118.7547729,
174000000,-4.385089966,79.43798699,-67.24170401,140.0243763,-19.06175791,-52.37073784,-41.36279776,117.8604432,
175000000,-4.512742093,77.58023602,-66.99315272,135.8121864,-19.24165122,-53.75383997,-41.36031036,118.4804559,
176000000,-4.440866655,77.80034175,-66.88869626,133.0624277,-19.10721442,-55.0023848,-41.31136833,117.6619045,
177000000,-4.35038387,77.00738542,-67.15602745,131.3859696,-19.17344652,-56.31185098,-41.32239523,117.936426,
178000000,-4.529720571,76.4778955,-67.88791578,134.2252699,-19.16595433,-57.50450827,-41.30331227,117.1492302,
179000000,-4.510370412,76.04876765,-66.72428966,128.2768637,-19.14899286,-58.8246082,-41.29946274,116.794909,
180000000,-4.430562935,74.15068569,-67.1134909,124.8454809,-19.07616049,-59.73567163,-41.32054829,116.4557904,
181000000,-4.629914007,74.21505554,-67.39051269,127.7436131,-19.15482987,-61.78480285,-41.19360933,115.9185378,
182000000,-4.69111247,73.4050384,-67.33164995,126.8193687,-19.20843624,-62.60224094,-41.23056613,116.1045978,
183000000,-4.677892154,73.93097266,-67.86814548,122.1053682,-19.14550581,-63.45659045,-41.11894189,115.2447976,
184000000,-4.532893222,73.92542061,-67.78123106,125.3052946,-19.11022621,-64.74178655,-41.12039117,115.7869145,
185000000,-4.81673085,73.09504434,-67.695826,123.0842197,-19.14698803,-65.31944391,-40.95615643,115.2627902,
186000000,-4.855907118,73.29180999,-68.08201236,123.9223089,-19.18429076,-66.83418322,-41.03430418,117.4748367,
187000000,-4.818474791,71.85646158,-68.25028041,116.3761877,-19.14657648,-68.51909688,-41.15521826,113.8949232,
188000000,-4.809824415,72.20428233,-64.62678606,107.4940844,-19.13648337,-69.37287841,-41.01718524,113.5975198,
189000000,-4.915507586,71.2297945,-67.85088768,114.8220634,-19.13678499,-70.57172639,-41.05185101,113.4838817,
190000000,-4.929013333,70.22055351,-66.93442105,122.8075206,-19.1320344,-71.99562137,-41.00997904,113.3369844,
191000000,-4.94535455,69.61415612,-67.64736222,110.6233118,-19.07571654,-73.04641251,-41.02918889,112.277488,
192000000,-4.979017776,70.13495661,-67.66959262,109.7474264,-19.11639685,-74.30810172,-40.94751761,112.2437748,
193000000,-5.005798485,69.05640947,-66.55774795,113.0268211,-19.12471548,-75.63491912,-40.95605118,111.8238873,
194000000,-4.977997124,68.59234407,-66.61002639,110.1447188,-19.07366972,-76.78803032,-40.94043242,111.4731024,
195000000,-5.076465175,67.9042356,-67.7989662,106.5911427,-19.09445357,-77.97966609,-40.90539257,111.070785,
196000000,-5.34551954,67.75451069,-52.10159503,-110.1171227,-19.101075,-78.80063208,-40.80252271,110.7190208,
197000000,-5.144249814,66.21289362,-67.95187868,104.0063361,-19.15602318,-80.30535298,-40.86017064,110.4213578,
198000000,-5.239271194,66.04286347,-68.10795482,98.58454445,-19.06690253,-81.53364451,-40.8486826,109.7215538,
199000000,-5.26483928,65.70205313,-68.3053047,99.58685154,-19.0947678,-82.45070855,-40.75800835,109.4960984,
200000000,-5.230660123,65.37946304,-68.13861275,102.2957239,-19.06478681,-83.82453551,-40.74242605,109.3412583,
201000000,-5.324531118,64.91532794,-67.69548457,101.0814947,-19.07043597,-84.88951256,-40.68367018,108.9041276,
202000000,-5.428359416,64.52589825,-68.52049974,98.19634765,-19.10134773,-86.05536332,-40.74358199,108.6820226,
203000000,-5.371304231,63.72165094,-68.83899254,94.30495624,-19.01769404,-87.39714582,-40.67670914,108.091441,
204000000,-5.417669905,63.33965317,-68.3686999,92.06221928,-19.03178643,-88.19256155,-40.68927239,107.7526976,
205000000,-5.097574302,65.29556445,-67.58401827,86.86742047,-18.87330279,-89.10358714,-40.6711353,107.2711211,
206000000,-5.465907984,61.42598034,-68.6144224,87.13516512,-19.13729907,-91.0193377,-40.63525454,106.8197383,
207000000,-5.526935941,61.69753177,-67.35774125,80.87235956,-18.99948086,-92.1747468,-40.6178366,106.4491288,
208000000,-5.556674275,61.42127003,-67.893902,83.55522008,-18.99164486,-93.06781841,-40.58302519,105.895344,
209000000,-5.606603846,60.50556559,-68.76545383,89.24570406,-19.00174989,-94.43993771,-40.53342438,105.6773753,
210000000,-5.681642586,60.48659462,-68.77847363,82.52659412,-18.97248996,-95.53623828,-40.53253743,104.9987802,
211000000,-5.733262421,59.9635746,-66.39134208,80.510508,-18.92058485,-96.5747308,-40.4940334,105.1892785,
212000000,-5.745891243,59.15410624,-68.96792658,79.99583734,-18.94873176,-97.58344242,-40.49801078,104.467738,
213000000,-5.842301568,60.86222538,-68.25274244,81.5169108,-18.79539929,-98.46025918,-40.47301178,104.3013936,
214000000,-5.709446172,56.94269041,-69.31111811,75.54130142,-18.89365848,-100.191875,-40.47440975,103.5953822,
215000000,-5.83036389,57.90894409,-68.73691601,79.38794179,-18.87585695,-101.3702978,-40.41401612,103.1168047,
216000000,-5.813112941,56.84947298,-68.26256934,79.16209736,-18.8055849,-102.5465461,-40.43736923,103.4501143,
217000000,-5.877122471,56.92007285,-69.31458826,75.59386471,-18.81671418,-103.4665926,-40.3600645,102.8459904,
218000000,-5.757164335,57.43556883,-69.1978811,69.67684513,-18.71410022,-104.8901305,-40.3315945,102.0162357,
219000000,-5.979709362,55.88403996,-69.28033222,74.89411914,-18.80230951,-105.8645425,-40.3480921,101.4172741,
220000000,-5.944098182,55.96135426,-68.88696519,73.20295321,-18.72810452,-107.0074375,-40.34781454,101.2971026,
221000000,-6.000431979,55.55951038,-68.88943808,70.56098277,-18.72238725,-108.2932724,-40.27600174,100.7676749,
222000000,-6.066808704,55.64083077,-69.54478237,65.34903437,-18.63786608,-108.575022,-40.25132064,100.6560848,
223000000,-6.064106289,54.71977062,-70.10779106,60.32349524,-18.66721802,-110.3818114,-40.24706671,99.85590563,
224000000,-6.094553417,54.36133424,-66.5824202,63.99872966,-18.59531369,-111.5155355,-40.20732198,99.70182582,
225000000,-6.121427212,54.11184323,-71.03440604,62.63581589,-18.59819923,-112.5726404,-40.22234544,99.36959859,
226000000,-6.121775014,53.48465072,-74.23065831,18.48435671,-18.52266303,-113.8538139,-40.16476273,98.89722251,
227000000,-6.193004659,52.94695397,-71.48263548,73.53674361,-18.47794292,-114.9720606,-40.19072922,98.68587672,
228000000,-6.244423507,53.15737036,-69.79876313,58.86209033,-18.47733644,-116.5615183,-40.18455373,97.91274382,
229000000,-6.285126748,52.95505661,-70.24003614,58.56796686,-18.49381508,-117.4549076,-40.14249388,97.46739183,
230000000,-6.293182955,51.22012402,-70.0848038,51.68033314,-18.45929726,-119.0015323,-40.14987663,97.21407564,
231000000,-6.262680096,51.30936005,-69.79845007,53.01223046,-18.37444829,-119.699397,-40.0853704,96.82193486,
